Asset,Date,Operation Status On,Operation Status Off,Operation Status Idle,Total Time Duration
WL018,2024-07-03,0 days 16:54:21,0 days 06:25:02,0 days 24:40:36,0 days 47:59:59
EX167,2024-07-03,0 days 02:13:33,0 days 45:30:27,0 days 00:15:59,0 days 47:59:59
EX158,2024-07-03,0 days 07:34:06,0 days 35:42:07,0 days 04:43:46,0 days 47:59:59
WL016,2024-07-03,0 days 06:41:35,0 days 36:58:33,0 days 04:19:51,0 days 47:59:59
EX186,2024-07-03,0 days 07:47:33,0 days 39:42:47,0 days 00:29:39,0 days 47:59:59
EX158,2024-07-03,0 days 07:34:06,0 days 35:42:07,0 days 04:43:46,0 days 47:59:59
EX186,2024-07-03,0 days 07:47:33,0 days 39:42:47,0 days 00:29:39,0 days 47:59:59
EX169,2024-07-03,0 days 05:43:41,0 days 39:01:13,0 days 03:15:05,0 days 47:59:59
EX195,2024-07-03,0 days 10:52:59,0 days 34:49:25,0 days 02:17:35,0 days 47:59:59
EX225,2024-07-03,0 days 00:00:00,0 days 17:04:11,0 days 30:55:48,0 days 47:59:59
